NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 531;R ITALIA,   541 - JARDIM PAULISTANO - AMERICANA - SP ;11875;-20;
Cliente Ficticio 532;R VIRGINIO CAMPELLO,19,A - PRADO - RECIFE - PE ;38008;-19;
Cliente Ficticio 533;R PE AGOSTINHO MENDICUTE,    51, BL ALTA, APT 74 - SUMARE - SAO PAULO - SP ;15825;-18;
Cliente Ficticio 534;R CRAVOLANDIA,18,CASA 2, ESCOLA MERALINA DE CASTRO - SANTA CRUZ - RIO DE JANEIRO - RJ ;2831;-17;
Cliente Ficticio 535;R CRAVORANA,   160 - JARDIM PEDRO JOSE NUNES - SAO PAULO - SP ;14231;-16;
Cliente Ficticio 536;R JOAO PIMENTEL DE TAVORA,   252, CASA 01 - JARDIM TERESA - SAO PAULO - SP ;20547;-15;
Cliente Ficticio 537;R ERNESTO ROSA DA FONSECA,   444, CS 2 - PARQUE PINHEIROS - TABOAO DA SERRA - SP ;30757;-14;
Cliente Ficticio 538;R AZUIL LOUREIRO,  1416 - VILA SANTA ROSA - GUARUJA - SP ;9211;-13;
Cliente Ficticio 539;R DEZ DE MAIO,   101, CASA 2 - VILA AMELIA - SAO PAULO - SP ;16775;-12;
Cliente Ficticio 540;R GONZAGA,    32, APT 32 - GUILHERMINA - PRAIA GRANDE - SP ;6447;-11;
Cliente Ficticio 541;R FERNAO DIAS PAIS,    86 - CAJURU - CURITIBA - PR ;2056;-10;
Cliente Ficticio 542;R CEL BORDINI,  1153, APT 1101 - AUXILIADORA - PORTO ALEGRE - RS ;16212;-9;
Cliente Ficticio 543;R HELIODORA,   118 - SANTANA - SAO PAULO - SP ;42854;-8;
Cliente Ficticio 544;R DR ALMEIDA ABBADE,    31 - JARDIM JAU (ZONA LESTE) - SAO PAULO - SP ;13236;-7;
Cliente Ficticio 545;QNN, QD 26, CJ C, CASA 54 - CEILANDIA SUL (CEILANDIA) - BRASILIA - DF ;25956;-6;
Cliente Ficticio 546;R DOIS DE SETEMBRO,   202, APT 1005 - ITOUPAVA NORTE - BLUMENAU - SC ;18354;-5;
Cliente Ficticio 547;R ENG GODOFREDO DOS SANTOS,    24, BL 07, APT 102 - ESTORIL - BELO HORIZONTE - MG ;16970;-4;
Cliente Ficticio 548;R HENQUEL TAVARES,    38 - CJT RES H. VELOSO - GUARULHOS - SP ;8648;-3;
Cliente Ficticio 549;R MANUEL JACINTO,841 - VILA MORSE - SAO PAULO - SP ;20055;-2;
Cliente Ficticio 551;R CAETANO ZANELLA,    40 - CENTRO - SAO BERNARDO DO CAMPO - SP ;9686;0;
Cliente Ficticio 552;AE, QD 04, LT E/F, BL B, APT 2105 - GUARA II - BRASILIA - DF ;47936;1;
Cliente Ficticio 4408;R PLINIO BARRETO,182,FRENTE - JARDIM AMERICA - RIO DE JANEIRO - RJ ;29026;1;
Cliente Ficticio 553;AV EPHIGENIO SALLES,2222,BL ROSSI   APT 701 - ALEIXO - MANAUS - AM ;51819;2;
Cliente Ficticio 238;AV AUGUSTO SEVERO,   172, CASA A - GLORIA - RIO DE JANEIRO - RJ ;87053;3;
Cliente Ficticio 258;R MARCONDES HOMEM DE MELO,   239 - JARDIM NOSSA SENHORA DO CARMO - SAO PAULO - SP ;34779;3;
Cliente Ficticio 259;R DR BENEDITO TOLOSA,   750 - PARQUE BRISTOL - SAO PAULO - SP ;16864;3;
Cliente Ficticio 319;R STO ANDRE,    48, FD - CANUDOS - NOVO HAMBURGO - RS ;4112;3;
Cliente Ficticio 320;R SEBASTIAO PROCOPIO OLIVEIRA,   432 - PARQUE SAO LUIS - TAUBATE - SP ;18844;3;
Cliente Ficticio 382;R BELGRADO,   452 - VALE DO SOL - BARUERI - SP ;36104;3;
Cliente Ficticio 407;R CAP LINDOLFO GUIMARAES CORREA,  1970, BL 02, APT 11 - JARDIM URANO - SAO JOSE DO RIO PRETO - SP ;24797;3;
